,timestamp_str,price,volume
573,Apr 13 2016 01: +0,6.102,127
574,Apr 14 2016 01: +0,6.113,96
575,Apr 15 2016 01: +0,6.078,125
576,Apr 16 2016 01: +0,6.158,181
577,Apr 17 2016 01: +0,6.001,182
578,Apr 18 2016 01: +0,5.95,113
579,Apr 19 2016 01: +0,5.94,113
580,Apr 20 2016 01: +0,6.106,124
581,Apr 21 2016 01: +0,6.038,106
582,Apr 22 2016 01: +0,5.951,169
583,Apr 23 2016 01: +0,5.932,187
584,Apr 24 2016 01: +0,5.865,162
585,Apr 25 2016 01: +0,5.911,121
586,Apr 26 2016 01: +0,5.957,116
587,Apr 27 2016 01: +0,5.739,96
588,Apr 28 2016 01: +0,5.739,107
589,Apr 29 2016 01: +0,5.968,169
590,Apr 30 2016 01: +0,5.849,215
591,May 01 2016 01: +0,5.946,179
592,May 02 2016 01: +0,5.933,140
593,May 03 2016 01: +0,6.003,117
594,May 04 2016 01: +0,6.023,128
595,May 05 2016 01: +0,6.029,106
596,May 06 2016 01: +0,5.921,145
597,May 07 2016 01: +0,5.927,165
598,May 08 2016 01: +0,5.902,178
599,May 09 2016 01: +0,5.968,139
600,May 10 2016 01: +0,6.035,89
601,May 11 2016 01: +0,6.028,122
602,May 12 2016 01: +0,5.922,117
603,May 13 2016 01: +0,6.0,161
604,May 14 2016 01: +0,6.08,197
605,May 15 2016 01: +0,6.056,176
606,May 16 2016 01: +0,5.847,130
607,May 17 2016 01: +0,5.812,138
608,May 18 2016 01: +0,5.702,116
609,May 19 2016 01: +0,5.796,119
610,May 20 2016 01: +0,5.874,142
611,May 21 2016 01: +0,5.814,184
612,May 22 2016 01: +0,5.873,144
613,May 23 2016 01: +0,5.84,110
614,May 24 2016 01: +0,5.858,87
615,May 25 2016 01: +0,5.82,101
616,May 26 2016 01: +0,5.908,106
617,May 27 2016 01: +0,6.123,129
618,May 28 2016 01: +0,5.948,130
619,May 29 2016 01: +0,5.754,147
620,May 30 2016 01: +0,5.903,144
621,May 31 2016 01: +0,5.961,89
622,Jun 01 2016 01: +0,5.954,117
623,Jun 02 2016 01: +0,5.996,122
624,Jun 03 2016 01: +0,5.746,142
625,Jun 04 2016 01: +0,5.987,152
626,Jun 05 2016 01: +0,5.958,157
627,Jun 06 2016 01: +0,5.847,107
628,Jun 07 2016 01: +0,6.048,97
629,Jun 08 2016 01: +0,5.798,119
630,Jun 09 2016 01: +0,5.802,131
631,Jun 10 2016 01: +0,5.945,148
632,Jun 11 2016 01: +0,5.809,159
633,Jun 12 2016 01: +0,5.709,153
634,Jun 13 2016 01: +0,5.845,117
635,Jun 14 2016 01: +0,5.874,126
636,Jun 15 2016 01: +0,5.94,141
637,Jun 16 2016 01: +0,5.764,126
